species,order,family,reference,host plant,temperature,devdays,se,sd_devdays,stage,int_rate,int_rate_se,fecundity,fecundity_se,reprod_rate,generation_days,survival,mortality,finite_rate,sample_size,exp_approach,
Aphis citricidus,Homoptera,Aphididae,takanashi1989,amanatsu,20,11.3,0.5,,nymph,,,,,,,,,,20,lab,
Aphis citricidus,Homoptera,Aphididae,takanashi1989,amanatsu,20,12.7,0.7,,prereproductive,,,,,,,,,,20,lab,
Aphis citricidus,Homoptera,Aphididae,takanashi1989,amanatsu,20,23.5,7,,reproductive,,,,,,,,,,20,lab,
Aphis citricidus,Homoptera,Aphididae,takanashi1989,amanatsu,20,3.4,2.5,,postreproductive,,,,,,,,,,20,lab,
Aphis citricidus,Homoptera,Aphididae,takanashi1989,amanatsu,20,,,,total,0.176,,,,42.4,,,,,10,lab,
Aphis citricidus,Homoptera,Aphididae,takanashi1989,amanatsu,25,7.1,0.6,,nymph,,,,,,,,,,10,lab,
Aphis citricidus,Homoptera,Aphididae,takanashi1989,amanatsu,25,7.6,0.6,,prereproductive,,,,,,,,,,10,lab,
Aphis citricidus,Homoptera,Aphididae,takanashi1989,amanatsu,25,15.4,2.8,,reproductive,,,,,,,,,,10,lab,
Aphis citricidus,Homoptera,Aphididae,takanashi1989,amanatsu,25,1.5,1.6,,postreproductive,,,,,,,,,,10,lab,
Aphis citricidus,Homoptera,Aphididae,takanashi1989,amanatsu,25,,,,total,,,,,45.9,,,,,,lab,
Aphis citricidus,Homoptera,Aphididae,komazaki1982,unshu mikan,14.9,15.96,,,total,0.287,,,,53.16,21.65,98.2,,,,lab,
Aphis citricidus,Homoptera,Aphididae,komazaki1982,unshu mikan,20.1,8.1,,,total,0.182,,,,56.18,11.2,97.7,,,,lab,
Aphis citricidus,Homoptera,Aphididae,komazaki1982,unshu mikan,24.9,6.33,,,total,0.359,,,,62.65,8.9,93.1,,,,lab,
Aphis citricidus,Homoptera,Aphididae,komazaki1982,unshu mikan,27.6,6.19,,,total,0.463,,,,45.28,8.53,83.7,,,,lab,
Aphis citricidus,Homoptera,Aphididae,komazaki1982,unshu mikan,29.7,,,,total,0.445,,,,0,,0,,,,lab,
Aphis citricidus,Homoptera,Aphididae,komazaki1982,orange,11.3,34.65,,,total,0.073,,,,25.12,43.34,85.1,,,,lab,
Aphis citricidus,Homoptera,Aphididae,komazaki1982,orange,15.2,19.22,,,total,0.14,,,,44.43,27.08,85.7,,,,lab,
Aphis citricidus,Homoptera,Aphididae,komazaki1982,orange,19.9,12.87,,,total,0.195,,,,38.84,18.67,77.6,,,,lab,
Aphis citricidus,Homoptera,Aphididae,komazaki1982,orange,21.5,8.77,,,total,0.32,,,,51.12,12.28,90.7,,,,lab,
Aphis citricidus,Homoptera,Aphididae,komazaki1982,orange,25.1,7.66,,,total,0.317,,,,36.79,11.31,85.3,,,,lab,
Aphis citricidus,Homoptera,Aphididae,komazaki1982,orange,27.1,6.49,,,total,0.43,,,,36.66,9.16,89.6,,,,lab,
Aphis citricidus,Homoptera,Aphididae,komazaki1982,orange,29.9,7.37,,,total,0.162,,,,3.87,8.35,60,,,,lab,
Aphis citricidus,Homoptera,Aphididae,tang1999,orange,20,9,0.1,,nymph,,,,,,,,,,19,lab,
Aphis citricidus,Homoptera,Aphididae,tang1999,orange,25,7.5,0.1,,nymph,,,,,,,,,,30,lab,
Aphis citricidus,Homoptera,Aphididae,tang1999,orange,30,6.3,0.2,,nymph,,,,,,,,,,15,lab,
Aphis citricidus,Homoptera,Aphididae,tang1999,orange,20,9.8,0.2,,prereproductive,,,,,,,,,,19,lab,
Aphis citricidus,Homoptera,Aphididae,tang1999,orange,25,8.2,0.1,,prereproductive,,,,,,,,,,28,lab,
Aphis citricidus,Homoptera,Aphididae,tang1999,orange,30,7.1,0.21,,prereproductive,,,,,,,,,,15,lab,
Aphis citricidus,Homoptera,Aphididae,tang1999,orange,20,22.2,0.8,,reproductive,,,,,,,,,,19,lab,
Aphis citricidus,Homoptera,Aphididae,tang1999,orange,25,15.2,0.8,,reproductive,,,,,,,,,,28,lab,
Aphis citricidus,Homoptera,Aphididae,tang1999,orange,30,11.2,1,,reproductive,,,,,,,,,,15,lab,
Aphis citricidus,Homoptera,Aphididae,tang1999,orange,20,1.2,0.2,,postreproductive,,,,,,,,,,19,lab,
Aphis citricidus,Homoptera,Aphididae,tang1999,orange,25,0.8,0.1,,postreproductive,,,,,,,,,,28,lab,
Aphis citricidus,Homoptera,Aphididae,tang1999,orange,30,0.8,0.1,,postreproductive,,,,,,,,,,15,lab,
Aphis citricidus,Homoptera,Aphididae,tang1999,orange,20,24.2,0.9,,longevity,,,,,,,,,,19,lab,
Aphis citricidus,Homoptera,Aphididae,tang1999,orange,25,16.8,0.8,,longevity,,,,,,,,,,28,lab,
Aphis citricidus,Homoptera,Aphididae,tang1999,orange,30,13.1,1,,longevity,,,,,,,,,,15,lab,
Aphis citricidus,Homoptera,Aphididae,tang1999,orange,20,,,,total,0.28,,,,55.3,14.8,,,1.31,19,lab,
Aphis citricidus,Homoptera,Aphididae,tang1999,orange,25,,,,total,0.33,,,,42,11.2,,,1.39,28,lab,
Aphis citricidus,Homoptera,Aphididae,tang1999,orange,30,,,,total,0.32,,,,20.3,9.4,,,1.38,15,lab,
